_7oWZq_s_Sk,902,0.547,0.088,0.879,0.798,11,0
_7oWZq_s_Sk,903,0.24,0.225,0.447,0.923,12,4
_7oWZq_s_Sk,903,0.24,0.225,0.447,0.923,80,4
_7oWZq_s_Sk,903,0.571,0.153,0.73,0.605,12,3
_7oWZq_s_Sk,903,0.8,0.218,0.987,0.687,12,1
_7oWZq_s_Sk,904,0.234,0.162,0.454,0.912,12,4
_7oWZq_s_Sk,904,0.505,0.144,0.736,0.695,12,3
_7oWZq_s_Sk,904,0.675,0.369,0.969,0.989,12,5
_7oWZq_s_Sk,904,0.675,0.369,0.969,0.989,74,5
_7oWZq_s_Sk,905,0.236,0.187,0.474,0.931,12,4
_7oWZq_s_Sk,905,0.236,0.187,0.474,0.931,61,4
_7oWZq_s_Sk,905,0.236,0.187,0.474,0.931,80,4
_7oWZq_s_Sk,905,0.564,0.519,0.708,0.979,11,6
_7oWZq_s_Sk,905,0.793,0.198,0.993,0.699,12,7
_7oWZq_s_Sk,905,0.793,0.198,0.993,0.699,80,7
_7oWZq_s_Sk,906,0.225,0.14,0.485,0.937,12,4
_7oWZq_s_Sk,906,0.554,0.121,0.764,0.554,12,9
_7oWZq_s_Sk,906,0.683,0.401,0.977,0.967,12,8
_7oWZq_s_Sk,906,0.813,0.176,0.997,0.572,12,7
_7oWZq_s_Sk,907,0.23,0.133,0.5,0.941,12,4
_7oWZq_s_Sk,907,0.459,0.247,0.623,0.986,12,10
_7oWZq_s_Sk,907,0.459,0.247,0.623,0.986,74,10
_7oWZq_s_Sk,907,0.459,0.247,0.623,0.986,80,10
_7oWZq_s_Sk,907,0.583,0.121,0.771,0.528,12,9
_7oWZq_s_Sk,907,0.802,0.182,0.997,0.726,12,7
_7oWZq_s_Sk,908,0.011,0.137,0.453,0.986,12,11
_7oWZq_s_Sk,909,0.106,0.182,0.403,0.913,12,11
_7oWZq_s_Sk,909,0.106,0.182,0.403,0.913,74,11
_7oWZq_s_Sk,909,0.381,0.063,0.93,0.972,12,12
_7oWZq_s_Sk,910,0.039,0.17,0.445,0.899,12,11
_7oWZq_s_Sk,910,0.039,0.17,0.445,0.899,74,11
_7oWZq_s_Sk,910,0.402,0.066,0.698,0.848,12,12
_7oWZq_s_Sk,910,0.717,0.472,0.997,0.994,12,13
_7oWZq_s_Sk,911,0.031,0.077,0.633,1,11,15
_7oWZq_s_Sk,912,0.037,0.062,0.65,0.99,11,15
_7oWZq_s_Sk,913,0.011,0.233,0.361,0.956,12,16
_7oWZq_s_Sk,913,0.269,0.294,0.602,0.969,12,15
_7oWZq_s_Sk,913,0.269,0.294,0.602,0.969,74,15
_7oWZq_s_Sk,914,0.009,0.187,0.376,0.946,12,16
_7oWZq_s_Sk,914,0.283,0.301,0.606,0.971,12,15
_7oWZq_s_Sk,914,0.533,0.44,0.784,0.967,12,17
_7oWZq_s_Sk,915,0.285,0.325,0.618,0.971,12,15
